No	O
formal	O
drug	O
interaction	O
studies	O
of	O
Aranesp	O
?	O
have	O
been	O
performed	O
.	O

Since	O
PLETAL	B-drug
is	O
extensively	O
metabolized	O
by	O
cytochrome	B-drug
P-450	I-drug
isoenzymes	O
,	O
caution	O
should	O
be	O
exercised	O
when	O
PLETAL	B-drug
is	O
coadministered	O
with	O
inhibitors	O
of	O
C.P.A.	O
such	O
as	O
ketoconazole	B-drug
and	O
erythromycin	B-drug
or	O
inhibitors	O
of	O
CYP2C19	B-drug
such	O
as	O
omeprazole	B-drug
.	O

Pharmacokinetic	O
studies	O
have	O
demonstrated	O
that	O
omeprazole	B-drug
and	O
erythromycin	B-drug
significantly	O
increased	O
the	O
systemic	O
exposure	O
of	O
cilostazol	B-drug
and/or	O
its	O
major	O
metabolites	B-drug
.	O

Population	O
pharmacokinetic	O
studies	O
showed	O
higher	O
concentrations	O
of	O
cilostazol	B-drug
among	O
patients	O
concurrently	O
treated	O
with	O
diltiazem	B-drug
,	O
an	O
inhibitor	O
of	O
C.P.A	O
..	O

Pletal	B-drug
does	O
not	O
,	O
however	O
,	O
appear	O
to	O
cause	O
increased	O
blood	O
levels	O
of	O
drugs	B-drug
metabolized	O
by	O
CYP3A4	B-drug
,	O
as	O
it	O
had	O
no	O
effect	O
on	O
lovastatin	B-drug
,	O
a	O
drug	B-drug
with	O
metabolism	O
very	O
sensitive	O
to	O
C.P.A.	O
inhibition	O
.	O

Hypertensive	O
crises	O
have	O
resulted	O
when	O
sympathomimetic	B-drug
amines	I-drug
have	O
been	O
used	O
concomitantly	O
within14	O
days	O
following	O
use	O
of	O
monoamine	B-drug
oxidase	I-drug
inhibitors	I-drug
.	O

DIDREX	B-drug
should	O
not	O
be	O
used	O
concomitantly	O
with	O
other	O
CNS	B-drug
stimulants	I-drug
.	O

Amphetamines	B-drug
may	O
decrease	O
the	O
hypotensive	O
effect	O
of	O
antihypertensives	B-drug
.	O

Amphetamines	B-drug
may	O
enhance	O
the	O
effects	O
of	O
tricyclic	B-drug
antidepressants	I-drug
.	O

Urinary	O
alkalinizing	B-drug
agents	I-drug
increase	O
blood	O
levels	O
and	O
decrease	O
excretion	O
of	O
amphetamines	B-drug
.	O

Urinary	O
acidifying	B-drug
agents	I-drug
decrease	O
blood	O
levels	O
and	O
increase	O
excretion	O
of	O
amphetamines	B-drug
.	O

No	O
drugs	B-drug
are	O
known	O
to	O
interfere	O
with	O
the	O
conversion	O
of	O
fosphenytoin	B-drug
to	O
phenytoin	B-drug
.	O

Conversion	O
could	O
be	O
affected	O
by	O
alterations	O
in	O
the	O
level	O
of	O
phosphatase	O
activity	O
,	O
but	O
given	O
the	O
abundance	O
and	O
wide	O
distribution	O
of	O
phosphatases	B-drug
in	O
the	O
body	O
it	O
is	O
unlikely	O
that	O
drugs	B-drug
would	O
affect	O
this	O
activity	O
enough	O
to	O
affect	O
conversion	O
of	O
fosphenytoin	B-drug
to	O
phenytoin	B-drug
.	O

Drugs	B-drug
highly	O
bound	O
to	O
albumin	B-drug
could	O
increase	O
the	O
unbound	O
fraction	O
of	O
fosphenytoin	B-drug
.	O

Although	O
,	O
it	O
is	O
unknown	O
whether	O
this	O
could	O
result	O
in	O
clinically	O
significant	O
effects	O
,	O
caution	O
is	O
advised	O
when	O
administering	O
Cerebyx	B-drug
with	O
other	O
drugs	B-drug
that	O
significantly	O
bind	O
to	O
serum	B-drug
albumin	I-drug
.	O

The	O
pharmacokinetics	O
and	O
protein	O
binding	O
of	O
fosphenytoin	B-drug
,	O
phenytoin	B-drug
,	O
and	O
